scientific,name,status,states,infraspecies,profile
Neophema chrysostoma,Blue-winged Parrot,Vulnerable,"[""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=726
Nesoptilotis leucotis thomasi,Kangaroo Island White-eared Honeyeater,Endangered,"[""SA""]",thomasi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86394
Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=847
Pachycephala rufogularis,Red-lored Whistler,Vulnerable,"[""SA"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=601
Pachyptila turtur subantarctica,Fairy Prion (southern),Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",subantarctica,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64445
Pardalotus quadragintus,Forty-spotted Pardalote,Endangered,"[""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=418
Pedionomus torquatus,Plains-wanderer,Critically Endangered,"[""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=906
Pezoporus flaviventris,"Western Ground Parrot, Kyloring",Critically Endangered,"[""WA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84650
Pezoporus occidentalis,Night Parrot,Critically Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59350
Phaethon rubricauda westralis,"Red-tailed Tropicbird (Indian Ocean), Indian Ocean Red-tailed Tropicbird",Endangered,"[""WA""]",westralis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91824
Phoebetria fusca,Sooty Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1075
Platycercus caledonicus brownii,Green Rosella (King Island),Vulnerable,"[""TAS""]",brownii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67041
Platycercus elegans melanopterus,Kangaroo Island Crimson Rosella,Vulnerable,"[""SA""]",melanopterus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91209
Pluvialis squatarola,Grey Plover,Vulnerable,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=865
Poephila cincta cincta,Southern Black-throated Finch,Endangered,"[""QLD"", ""NSW""]",cincta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64447
Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",Vulnerable,"[""WA"", ""NT"", ""SA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=758
Polytelis anthopeplus monarchoides,Regent Parrot (eastern),Vulnerable,"[""SA"", ""NSW"", ""VIC""]",monarchoides,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59612
Polytelis swainsonii,Superb Parrot,Vulnerable,"[""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=738
Probosciger aterrimus macgillivrayi,Southern Palm Cockatoo,Endangered,"[""QLD""]",macgillivrayi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67033
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal, Thaku, Arrmorral, Minpin",Endangered,"[""QLD""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=720
Psophodes leucogaster leucogaster,Mallee Whipbird,Endangered,"[""SA"", ""VIC""]",leucogaster,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81025
Psophodes nigrogularis lashmari,Western Whipbird (Kangaroo Island),Endangered,"[""SA""]",lashmari,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67098
Psophodes nigrogularis nigrogularis,Western Heath Whipbird,Endangered,"[""WA""]",nigrogularis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64449
Pterodroma heraldica,Herald Petrel,Critically Endangered,"[""QLD"", ""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66973
Pterodroma leucoptera leucoptera,"Gould's Petrel, Australian Gould's Petrel",Endangered,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",leucoptera,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26033
Pterodroma mollis,Soft-plumaged Petrel,Vulnerable,"[""WA"", ""SA"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1036
Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,"[""QLD"", ""NSW""]",neglecta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64450
Pycnoptilus floccosus,Pilotbird,Vulnerable,"[""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=525
