season,latitude,longitude,count
Winter,-17.0,125.0,102
Winter,-17.0,126.0,43
Winter,-17.0,128.0,32
Winter,-17.0,129.0,8
Winter,-17.0,133.0,2
Winter,-17.0,137.0,1
Winter,-17.0,138.0,8
Winter,-17.0,141.0,21
Winter,-17.0,145.0,438
Winter,-17.0,146.0,730
Winter,-18.0,122.0,529
Winter,-18.0,123.0,30
Winter,-18.0,124.0,9
Winter,-18.0,125.0,12
Winter,-18.0,126.0,24
Winter,-18.0,128.0,5
Winter,-18.0,131.0,2
Winter,-18.0,134.0,6
Winter,-18.0,141.0,31
Winter,-18.0,143.0,30
Winter,-18.0,144.0,18
Winter,-18.0,145.0,13
Winter,-18.0,146.0,112
Winter,-19.0,122.0,10
Winter,-19.0,123.0,8
Winter,-19.0,127.0,5
Winter,-19.0,128.0,3
Winter,-19.0,139.0,10
Winter,-19.0,143.0,15
Winter,-19.0,144.0,7
Winter,-19.0,145.0,2
Winter,-19.0,146.0,121
Winter,-19.0,147.0,429
Winter,-20.0,119.0,84
Winter,-20.0,120.0,12
Winter,-20.0,121.0,20
Winter,-20.0,122.0,1
Winter,-20.0,128.0,10
Winter,-20.0,139.0,5
Winter,-20.0,140.0,3
Winter,-20.0,142.0,1
Winter,-20.0,144.0,3
Winter,-20.0,146.0,10
Winter,-20.0,147.0,24
Winter,-20.0,148.0,27
Winter,-20.0,149.0,8
Winter,-21.0,117.0,20
Winter,-21.0,119.0,10
Winter,-21.0,120.0,24
Winter,-21.0,139.0,10
Winter,-21.0,140.0,122
Winter,-21.0,143.0,3
Winter,-21.0,144.0,4
Winter,-21.0,148.0,2
Winter,-21.0,149.0,112
Winter,-22.0,114.0,23
Winter,-22.0,115.0,3
Winter,-22.0,116.0,9
Winter,-22.0,117.0,9
Winter,-22.0,150.0,2
Winter,-23.0,114.0,15
Winter,-23.0,117.0,6
Winter,-23.0,118.0,5
Winter,-23.0,119.0,6
Winter,-23.0,120.0,18
Winter,-23.0,123.0,1
Winter,-23.0,127.0,23
Winter,-23.0,131.0,7
Winter,-23.0,150.0,15
Winter,-23.0,151.0,46
Winter,-24.0,120.0,9
Winter,-24.0,150.0,2
Winter,-24.0,151.0,31
Winter,-24.0,152.0,58
Winter,-25.0,114.0,8
Winter,-25.0,150.0,2
Winter,-25.0,152.0,148
Winter,-25.0,153.0,48
Winter,-26.0,119.0,3
Winter,-26.0,139.0,7
Winter,-26.0,152.0,14
Winter,-26.0,153.0,189
Winter,-27.0,152.0,67
Winter,-27.0,153.0,1387
Winter,-28.0,115.0,1
Winter,-28.0,152.0,36
Winter,-28.0,153.0,720
Winter,-28.0,154.0,86
Winter,-29.0,153.0,54
Winter,-29.0,154.0,139
Winter,-30.0,153.0,32
Winter,-32.0,116.0,1
Winter,-34.0,144.0,1
Winter,-11.0,132.0,12
Winter,-11.0,133.0,5
Winter,-12.0,134.0,2
Winter,-12.0,135.0,3
Winter,-12.0,143.0,2
Winter,-14.0,128.0,1
Winter,-14.0,136.0,7
Winter,-14.0,143.0,6
Winter,-14.0,144.0,3
Winter,-16.0,136.0,12
Winter,-16.0,137.0,5
Winter,-16.0,143.0,2
Winter,-16.0,144.0,2
Winter,-17.0,136.0,2
Winter,-17.0,144.0,2
Winter,-18.0,136.0,2
Winter,-18.0,138.0,3
Winter,-18.0,139.0,1
Winter,-18.0,140.0,9
Winter,-18.0,142.0,6
Winter,-19.0,134.0,7
Winter,-19.0,135.0,3
Winter,-20.0,138.0,3
Winter,-21.0,121.0,4
Winter,-21.0,141.0,1
Winter,-21.0,142.0,1
Winter,-22.0,118.0,1
Winter,-22.0,119.0,3
Winter,-22.0,121.0,6
