Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
Isoodon auratus barrowensis,Golden Bandicoot (Barrow Island),-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66666,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66666,2026-Aug-28,-,Peramelidae,Isoodon,auratus,-,barrowensis,-,"(Thomas, 1901)"
Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,66667,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66667,2026-Aug-28,-,Peramelidae,Isoodon,obesulus,-,nauticus,-,"Thomas, 1922"
Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (south-eastern)",-,Endangered,Yes,Yes,-,-,Yes,-,Yes,-,-,-,-,-,Yes,-,-,-,-,68050,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68050,2026-Aug-28,-,Peramelidae,Isoodon,obesulus,-,obesulus,"(Shaw, 1797)",-
Isopogon fletcheri,Fletcher's Drumsticks,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19980,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19980,2026-Aug-28,https://id.biodiversity.org.au/name/apni/100613,Proteaceae,Isopogon,fletcheri,-,-,F.Muell.,-
Isopogon robustus,Robust Coneflower,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,82646,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82646,2026-Aug-28,https://id.biodiversity.org.au/name/apni/195771,Proteaceae,Isopogon,robustus,-,-,Foreman ex N.Gibson,-
Isopogon uncinatus,"Albany Cone Bush, Hook-leaf Isopogon",-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,20871,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20871,2026-Aug-28,https://id.biodiversity.org.au/name/apni/101662,Proteaceae,Isopogon,uncinatus,-,-,R.Br.,-
Ixodia achillaeoides subsp. arenicola,"Sand Ixodia, Ixodia",-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,21474,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21474,2026-Aug-28,https://id.biodiversity.org.au/name/apni/90247,Asteraceae,Ixodia,achillaeoides,subsp.,arenicola,-,Copley
Jacksonia pungens,Pungent Jacksonia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64920,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64920,2026-Aug-28,https://id.biodiversity.org.au/name/apni/212470,Fabaceae,Jacksonia,pungens,-,-,Chappill,-
Jacksonia quairading,"Quairading Jacksonia, Quairading Stinkwood",-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,67417,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67417,2026-Aug-28,https://id.biodiversity.org.au/name/apni/212436,Fabaceae,Jacksonia,quairading,-,-,Chappill,-
Jacksonia velveta,Collie Jacksonia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,82671,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82671,2026-Aug-28,https://id.biodiversity.org.au/name/apni/212107,Fabaceae,Jacksonia,velveta,-,-,Chappill,-
Kardomia granitica,a shrub,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,83201,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83201,2026-Aug-28,https://id.biodiversity.org.au/name/apni/207073,Myrtaceae,Kardomia,granitica,-,-,(A.R.Bean) Peter G.Wilson,-
Kardomia prominens,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85097,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85097,2026-Aug-28,https://id.biodiversity.org.au/name/apni/207076,Myrtaceae,Kardomia,prominens,-,-,(A.R.Bean) Peter G.Wilson,-
Kardomia silvestris,Woodland Babingtonia,-,Endangered,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,84802,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84802,2026-Aug-28,https://id.biodiversity.org.au/name/apni/207077,Myrtaceae,Kardomia,silvestris,-,-,(A.R.Bean) Peter G.Wilson,-
Kelleria bogongensis,"Snow Daphne, Kelleria",-,Vulnerable,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,88203,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88203,2026-Aug-28,https://id.biodiversity.org.au/name/apni/3621826,Thymelaeaceae,Kelleria,bogongensis,-,-,C.E.Marks,-
Kennedia glabrata,Northcliffe Kennedia,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,16452,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16452,2026-Aug-28,https://id.biodiversity.org.au/name/apni/96660,Fabaceae,Kennedia,glabrata,-,-,Lindl.,-
Kennedia lateritia,Augusta Kennedia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,45985,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=45985,2026-Aug-28,https://id.biodiversity.org.au/name/apni/96785,Fabaceae,Kennedia,lateritia,-,-,F.Muell.,-
Kennedia retrorsa,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19716,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19716,2026-Aug-28,https://id.biodiversity.org.au/name/apni/115428,Fabaceae,Kennedia,retrorsa,-,-,Hemsley,-
Keyacris scurra,Key's Matchstick Grasshopper,-,Endangered,Yes,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,89739,-,Animalia,Insecta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89739,2026-Aug-28,-,Morabidae,Keyacris,scurra,-,-,"(Rehn, 1952)",-
Kumonga exleyi,Cape Range Remipede,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,86875,-,Animalia,Remipedia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86875,2026-Aug-28,-,Kumongidae,Kumonga,exleyi,-,-,"(Yager  Humphreys, 1996)",-
Kunzea cambagei,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11420,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11420,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61948,Myrtaceae,Kunzea,cambagei,-,-,Maiden  E.Betche,-
Kunzea ericifolia subsp. subulata,-,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,89147,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89147,2026-Aug-28,https://id.biodiversity.org.au/name/apni/171175,Myrtaceae,Kunzea,ericifolia,subsp.,subulata,-,Toelken
Kunzea juniperoides subsp. pernervosa,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89539,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89539,2026-Aug-28,https://id.biodiversity.org.au/name/apni/8249481,Myrtaceae,Kunzea,juniperoides,subsp.,pernervosa,-,Toelken
Kunzea rupestris,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8798,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8798,2026-Aug-28,https://id.biodiversity.org.au/name/apni/76290,Myrtaceae,Kunzea,rupestris,-,-,Blakely,-
Kunzea similis subsp. similis,-,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,84068,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84068,2026-Aug-28,https://id.biodiversity.org.au/name/apni/211843,Myrtaceae,Kunzea,similis,subsp.,similis,Toelken,-
Lachnagrostis adamsonii,"Adamson's Blown-grass, Adamson's Blowngrass",-,Endangered,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,76211,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76211,2026-Aug-28,https://id.biodiversity.org.au/name/apni/177180,Poaceae,Lachnagrostis,adamsonii,-,-,(J.W.Vickery) S.W.L.Jacobs,-
Lachnagrostis limitanea,"Spalding Blown Grass, Spalding Blowngrass",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,78119,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78119,2026-Aug-28,https://id.biodiversity.org.au/name/apni/177188,Poaceae,Lachnagrostis,limitanea,-,-,(J.M.Black) S.W.L.Jacobs,-
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",-,Extinct,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,243,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=243,2026-Aug-28,-,Macropodidae,Lagorchestes,asomatus,-,-,"Finlayson, 1943",-
Lagorchestes conspicillatus conspicillatus,Spectacled Hare-wallaby (Barrow Island),-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66661,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66661,2026-Aug-28,-,Macropodidae,Lagorchestes,conspicillatus,-,conspicillatus,"Gould,1842",-
Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66662,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66662,2026-Aug-28,-,Macropodidae,Lagorchestes,hirsutus,-,bernieri,-,"Thomas, 1907"
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",-,Endangered,-,-,Yes,Yes,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,88019,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88019,2026-Aug-28,-,Macropodidae,Lagorchestes,hirsutus,-,Central Australian subspecies,-,-
Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66663,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66663,2026-Aug-28,-,Macropodidae,Lagorchestes,hirsutus,-,dorreae,"Thomas, 1907",-
Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66655,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66655,2026-Aug-28,-,Macropodidae,Lagorchestes,hirsutus,-,hirsutus,"Gould, 1844",-
Lagorchestes leporides,Eastern Hare-wallaby,-,Extinct,-,Yes,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,246,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=246,2026-Aug-28,-,Macropodidae,Lagorchestes,leporides,-,-,"(Gould, 1841)",-
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66654,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66654,2026-Aug-28,-,Macropodidae,Lagostrophus,fasciatus,-,albipilis,-,-
Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning",-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66664,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66664,2026-Aug-28,-,Macropodidae,Lagostrophus,fasciatus,-,fasciatus,"(Peron,1807)",-
Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,-,Extinct,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,25985,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25985,2026-Aug-28,-,Campephagidae,Lalage,leucopyga,-,leucopyga,"(Gould, 1838)",-
Lambertia echinata subsp. echinata,Prickly Honeysuckle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,56729,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56729,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154600,Proteaceae,Lambertia,echinata,subsp.,echinata,-,R.Br.
Lambertia echinata subsp. occidentalis,Western Prickly Honeysuckle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64528,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64528,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154685,Proteaceae,Lambertia,echinata,subsp.,occidentalis,-,Keighery
Lambertia fairallii,Fairall's Honeysuckle,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,4881,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4881,2026-Aug-28,https://id.biodiversity.org.au/name/apni/115982,Proteaceae,Lambertia,fairallii,-,-,Keighery,-
Lambertia orbifolia,Roundleaf Honeysuckle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,15725,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15725,2026-Aug-28,https://id.biodiversity.org.au/name/apni/54724,Proteaceae,Lambertia,orbifolia,-,-,C.Gardner,-
Lampropholis elliotensis,Mount Elliot Rainforest Sunskink,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,91470,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91470,2026-Aug-28,-,Scincidae,Lampropholis,elliotensis,-,-,"Singhal, Hoskin, Couper, Potter  Moritz, 2018",-
Lampropholis elongata,Long Sunskink,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64728,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64728,2026-Aug-28,-,Scincidae,Lampropholis,elongata,-,-,"Greer, 1997",-
Lasiopetalum joyceae,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20311,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20311,2026-Aug-28,https://id.biodiversity.org.au/name/apni/86217,Sterculiaceae,Lasiopetalum,joyceae,-,-,Blakely,-
Lasiopetalum longistamineum,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19181,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19181,2026-Aug-28,https://id.biodiversity.org.au/name/apni/86287,Sterculiaceae,Lasiopetalum,longistamineum,-,-,Maiden  E.Betche,-
Lasiopetalum pterocarpum,Wing-fruited Lasiopetalum,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64922,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64922,2026-Aug-28,https://id.biodiversity.org.au/name/apni/178783,Sterculiaceae,Lasiopetalum,pterocarpum,-,-,E.M.Benn.  K.Shepherd,-
Lasiopetalum rotundifolium,Round-leaf Lasiopetalum,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,2885,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2885,2026-Aug-28,https://id.biodiversity.org.au/name/apni/86734,Sterculiaceae,Lasiopetalum,rotundifolium,-,-,Paust,-
Lasiopetalum sp. Mount Caroline (S.D.Hopper SDH 6381),-,Lasiopetalum moullean,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,89457,89524,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89457,2026-Aug-28,https://id.biodiversity.org.au/name/apni/244814,Malvaceae,Lasiopetalum,sp. Mount Caroline (S.D.Hopper SDH 6381),-,-,WA Herbarium,-
Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,68391,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68391,2026-Aug-28,https://id.biodiversity.org.au/name/apni/178785,Sterculiaceae,Lasiopetalum,sp. Proston (J.A.Baker 17),-,-,Qld Herbarium,-
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",-,Critically Endangered,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,198,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=198,2026-Aug-28,-,Vombatidae,Lasiorhinus,krefftii,-,-,"(Owen,1872)",-
Lastreopsis calantha,"Shield-fern, Shieldfern",-,Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,65884,-,Plantae,Polypodiatae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65884,2026-Aug-28,https://id.biodiversity.org.au/name/apni/119797,Dryopteridaceae,Lastreopsis,calantha,-,-,(Endl.) Tindale,-
Lastreopsis walleri,a fern,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,18229,-,Plantae,Polypodiatae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18229,2026-Aug-28,https://id.biodiversity.org.au/name/apni/87437,Dryopteridaceae,Lastreopsis,walleri,-,-,Tindale,-
Lathamus discolor,Swift Parrot,-,Critically Endangered,Yes,Yes,-,Yes,Yes,Yes,Yes,-,-,-,-,-,Yes,-,-,-,Yes,744,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=744,2026-Aug-28,-,Psittacidae,Lathamus,discolor,-,-,"(Shaw, 1790)",-
Latrobea colophona,-,Latrobea colophon,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,85004,92781,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85004,2026-Aug-28,https://id.biodiversity.org.au/name/apni/211920,Fabaceae,Latrobea,colophona,-,-,Chappill  C.F.Wilkins,-
Lawrencia buchananensis,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,10919,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10919,2026-Aug-28,https://id.biodiversity.org.au/name/apni/102088,Malvaceae,Lawrencia,buchananensis,-,-,Lander,-
Lechenaultia chlorantha,Kalbarri Leschenaultia,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,16763,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16763,2026-Aug-28,https://id.biodiversity.org.au/name/apni/94894,Goodeniaceae,Lechenaultia,chlorantha,-,-,F.Muell.,-
Lechenaultia laricina,Scarlet Leschenaultia,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,18535,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18535,2026-Aug-28,https://id.biodiversity.org.au/name/apni/95391,Goodeniaceae,Lechenaultia,laricina,-,-,Lindley,-
Leichhardtia araujacea,-,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,91900,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91900,2026-Aug-28,https://id.biodiversity.org.au/name/apni/51402183,Apocynaceae,Leichhardtia,araujacea,-,-,(F.Muell.) P.I.Forst.,-
Leiocarpa gatesii,Wrinkled Buttons,-,Vulnerable,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,76212,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76212,2026-Aug-28,https://id.biodiversity.org.au/name/apni/170171,Asteraceae,Leiocarpa,gatesii,-,-,(H.B.Will.) Paul G.Wilson,-
Leionema ceratogynum,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91165,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91165,2026-Aug-28,https://id.biodiversity.org.au/name/apni/191665,Rutaceae,Leionema,ceratogynum,-,-,N.G.Walsh,-
Leionema equestre,Kangaroo Island Phebalium,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,64923,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64923,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154765,Rutaceae,Leionema,equestre,-,-,(D.A.Cooke) Paul G.Wilson,-
Leionema lachnaeoides,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64924,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64924,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154766,Rutaceae,Leionema,lachnaeoides,-,-,(A.Cunn.) Paul G.Wilson,-
Leionema lamprophyllum subsp. fractum,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89743,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89743,2026-Aug-28,https://id.biodiversity.org.au/name/apni/5439372,Rutaceae,Leionema,lamprophyllum,subsp.,fractum,-,S.A.J.Bell
Leionema obtusifolium,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,64925,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64925,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154767,Rutaceae,Leionema,obtusifolium,-,-,(Paul G.Wilson) Paul G.Wilson,-
Leionema ralstonii,-,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64926,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64926,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154768,Rutaceae,Leionema,ralstonii,-,-,(F.Muell.) Paul G.Wilson,-
Leionema sympetalum,Rylstone Bell,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64927,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64927,2026-Aug-28,https://id.biodiversity.org.au/name/apni/154769,Rutaceae,Leionema,sympetalum,-,-,(Paul G.Wilson) Paul G.Wilson,-
Leionema westonii,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90225,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=90225,2026-Aug-28,https://id.biodiversity.org.au/name/apni/50631502,Rutaceae,Leionema,westonii,-,-,L.M.Copel.  I.Telford,-
Leioproctus douglasiellus,a short-tongued bee,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,66756,-,Animalia,Insecta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66756,2026-Aug-28,-,Colletidae,Leioproctus,douglasiellus,-,-,"Michener, 1965",-
Leipoa ocellata,Malleefowl,-,Vulnerable,-,Yes,Yes,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,934,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=934,2026-Aug-28,-,Megapodiidae,Leipoa,ocellata,-,-,"Gould,1840",-
Lemmaphyllum accedens,-,-,Extinct,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,24428,-,Plantae,Polypodiatae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24428,2026-Aug-28,https://id.biodiversity.org.au/name/apni/120080,Polypodiaceae,Lemmaphyllum,accedens,-,-,(Blume) Donk,-
Lenwebbia sp. Main Range (P.R.Sharpe+ 4877),-,-,Critically Endangered,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,87240,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87240,2026-Aug-28,https://id.biodiversity.org.au/name/apni/225745,Myrtaceae,Lenwebbia,sp. Main Range (P.R.Sharpe+ 4877),-,-,Qld Herbarium,-
Lepidium aschersonii,Spiny Peppercress,-,Vulnerable,-,Yes,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,10976,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10976,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68999,Brassicaceae,Lepidium,aschersonii,-,-,Thell.,-
